,location,title,company,salary,summary,rating,JT
2798,"Bengaluru, Karnataka",newDeep Learning Deployment Engineer (Cloud),Conxai Technologies GmbH,"₹20,00,000 - ₹28,00,000 a year","
We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation Explainable AI, that allows users to create complex use cases with…
",NA,Data+Scientist
2799,"Remote in Hyderabad, Telangana+1 location",newNLP Developer,PokerStars,NA,"
The NLP Developer role is part of the International Automation Function within our Customer & Product org, created to deliver a consistent and transformational…
",NA,Data+Scientist
2800,"Bengaluru, Karnataka",Junior Data Scientist,Newton School,NA,"
Take ownership of building data modelling pipelines for scalable and continuous systems.
Working knowledge of Data pipeline and data-science model deployment …
",NA,Data+Scientist
2801,"Bengaluru, Karnataka",Data Science-Analyst/Consultant-A&C,Deloitte,NA,"
Implement large-scale data ecosystems including data management, governance and the integration of structured and unstructured data to generate insights…
",4.0,Data+Scientist
2802,"Bengaluru, Karnataka",newSenior Manager - Marketing & User Data analytics,Philips,NA,"
Ability to optimise performance of run time for different solutions on the data infrastructure.
As part of MDA, this position will be responsible for Building…
",4.0,Data+Scientist
2803,"Hyderabad, Telangana",Machine Learning Engineer,DeepEdge,NA,"
Machine Learning engineers with 1-3 years of industry experience.
",NA,Data+Scientist
2804,"Mumbai, Maharashtra",Senior Data Scientist,Crimson AI,NA,"
Experience of handling various data types and structures—structured and unstructured data—validating and cleaning data, and measuring evaluation.
",NA,Data+Scientist
2805,"Bengaluru, Karnataka",NLP Data Scientist,HEAPS Health,NA,"
Proficiency in handling unstructured and semi-structured data.
Perform relevant data analysis and benchmark the NLP solutions to improve our offerings.
",NA,Data+Scientist
2806,"Mumbai, Maharashtra",Mid Level Data Scientist,Everestek,NA,"
Extending data from multiple sources of information when needed.
Enhancing data collection procedures to include information that is relevant for building…
",NA,Data+Scientist
2807,"Hyderabad, Telangana","Machine Learning Engineer, GSI",Salesforce,NA,"
Develop skills to integrate forward into a data scientist role and contribute to product innovation.
Work with data scientists, data analysts to design best…
",4.3,Data+Scientist
2808,"Remote in Delhi, Delhi",Machine Learning Engineer,Insta Admission Private Limited,"₹15,000 a month","
Understanding of data structures, data modeling and software architecture.
Study and transform data science prototypes.
Total work: 1 year (Preferred).
",NA,Data+Scientist
2809,"Mumbai, Maharashtra",Machine Learning Engineer,Quantiphi,NA,"
Working closely with business and data team to ensure smooth delivery.
Working closely with business and data team to ensure smooth delivery.
",2.0,Data+Scientist
2810,"Bengaluru, Karnataka",Sr Data Scientist - Uber for Business,Uber,NA,"
Identifying new opportunities and shaping the product roadmap through data insights.
Strong problem solving skills and ability to translate ambiguous,…
",3.7,Data+Scientist
2811,"Gurgaon, Haryana",Data Scientist,MobiKwik,NA,"
Scientist, you will be able to work with large data set generated by millions of MobiKwik users.
Extensive experience with data manipulation and analysis using…
",3.9,Data+Scientist
2812,"Bengaluru, Karnataka",Director - Sales Analytics,Innovacer,NA,"
Experience with data modeling, machine learning algorithms, and data science techniques.
Experience in effectively working with stakeholders in sales and other…
",NA,Data+Scientist
2813,"Navi Mumbai, Maharashtra",Program Manager (Data Science & Analytics),Testbook,NA,"
Lead a team of Course Designers, Teachers and Subject Matter Experts.
Design and Build SOPs and Processes for various initiatives to improvise the learning…
",4.3,Data+Scientist
2814,"Bengaluru, Karnataka","Data Science Analyst, Data Operations",Cisco Systems,NA,"
Interpret large raw data sets; conduct data analysis and audits.
Use reporting tools, download data, and analyze data.
",4.1,Data+Scientist
2815,"Hyderabad, Telangana",Data Scientist & Business Development,Grid Logic Software Private Limited,NA,"
Proven experience as a data scientist or data analyst.
You will continuously drive data culture and evangelize use of data science in all possible aspects of…
",NA,Data+Scientist
2816,"Pune, Maharashtra",Senior Software Engineer - Deep Learning,NVIDIA,NA,"
Collaborate with various teams to drive an end to end workflow from data curation and training to performance optimization and deployment.
",4.2,Data+Scientist
2817,"Bengaluru, Karnataka",newSenior Artificial Intelligence Solution Consultant,Wells Fargo,NA,"
Be the single point of contact for LOB and act as a liaison with product and data scientist.
Work with data scientists, platform, Datalake, Architecture and…
",3.7,Data+Scientist
2818,"Bengaluru, Karnataka",Quantitative Analytics Senior Manager,Wells Fargo,NA,"
Understanding and adherence to data management/data governance regulations and policies.
Identifies and recommends internal and external data sources, compiles/…
",3.7,Data+Scientist
2819,"Bengaluru, Karnataka",AI/ML Lead Product manager,Wells Fargo,NA,"
Technical software development experience in the field of data driven products is a plus.
Good to have certifications in Data Science, AI/ML or Big data.
",3.7,Data+Scientist
2820,"Bengaluru, Karnataka",newMachine Learning Engineer,Zscaler,NA,"
Experience with data serialization techniques and data stores for persisting events.
2+ year of experience using distributed data processing such as Spark,…
",3.8,Data+Scientist
2821,"Noida, Uttar Pradesh",Jr. Data Scientist,xtLytics,NA,"
Use strong business acumen, as well as an ability to communicate findings and mine vast amounts of data for useful insights.
",NA,Data+Scientist
2822,"Chennai, Tamil Nadu",Data Science Application Developer,Accenture,NA,"
Key Responsibilities : A:10 years experienced ML Engineer 5 years, with background in statistics and software development methodologies B:Highly adept at…
",4.0,Data+Scientist
2823,"Bengaluru, Karnataka",Machine Learning Engineer,HP,NA,"
Experience in solving data science problems using machine learning, data mining algorithms and big data tools.
Run machine learning tests and experiments.
",4.0,Data+Scientist
2824,"Bengaluru, Karnataka",Lead Data Scientist,Blinkit,NA,"
Experience with big data tools like Spark, Hadoop is a plus.
Collaborate with various stakeholders to identify complex business problems and break them down…
",NA,Data+Scientist
2825,"Delhi, Delhi+1 location",CCO Data Analytics Lead,Barclays,NA,"
Mentor and train junior team members and CCO data specialists in basic and advanced data science and analytics techniques.
",3.9,Data+Scientist
2826,"Bengaluru, Karnataka",Customer Segmentation Analytics Associate,"JPMorgan Chase Bank, N.A.",NA,"
Become a trusted partner and thought leader on customer data and data science & analytics techniques.
Build expertise on customer data from all Chase lines of…
",3.8,Data+Scientist
2827,"Chennai, Tamil Nadu",Principal Architect Big Data,BigTapp,NA,"
Performs the data analysis activities to capture data requirements clearly, completely and correctly, and represent them in a formal and visual way through the…
",NA,Data+Scientist
2828,"Bengaluru, Karnataka",Head of Performance and Analytics for Quality and Operations,Hitachi Energy,NA,"
Continue to enhance data accuracy, integrity and report outcomes.
Lead evaluation of emerging technologies to reduce complexity, improve transparency and…
",3.6,Data+Scientist
2829,"Bengaluru, Karnataka","Data Scientist, Data & Analytics",Thomson Reuters,NA,"
Knowledge of advanced statistical modelling, testing, data mining, and data science techniques.
Experience with Tableau and other data visualization tools would…
",3.9,Data+Scientist
2830,"Bengaluru, Karnataka",Data Scientist – Senior Consultant,Deloitte,NA,"
Strong experience in developing data structures, complex data architectures, a variety of theory and techniques in machine learning, data mining and big data.
",4.0,Data+Scientist
2831,"Bengaluru, Karnataka",Data Scientist II- Time Prediction View Jobs,Swiggy,NA,"
Experience in mentoring a small team of data scientists preferably in a startup or tech company.
We are a group of data scientists, operations research…
",3.9,Data+Scientist
2832,"Bengaluru, Karnataka","Applied Scientist II, Amazon Go",ADCI - Karnataka,NA,"
As a computer vision scientist, you will help solve a variety of technical challenges and mentor other engineers.
",3.5,Data+Scientist
2833,"Mumbai, Maharashtra",Technical Lead - Machine Learning,IDfy,NA,"
You are a seasoned machine learning engineer (or data scientist).
Work on all aspects of a production machine learning platform: acquiring data, training and…
",4.3,Data+Scientist
2834,"Pune, Maharashtra",Senior Data Scientist - Consultant,TransUnion,NA,"
We are looking to hire data scientists who would be part of Datalab team to support all internal analytics requirements and assist with research and development…
",3.8,Data+Scientist
2835,"Bengaluru, Karnataka",Director Product Management – Data Platform and Analytics,Algonomy,NA,"
Drive product vision and execution for our data platform and analytics, including both real-time and historical analytics across all product areas, data…
",NA,Data+Scientist
2836,Goa,Site QA Leader,Procter & Gamble,NA,"
To unlock business building insights in our mountains of data.
Executing research and analytics, including data source identification, processing, model…
",4.1,Data+Scientist
2837,"Gurgaon, Haryana","Senior Consultant - Machine learning , Actuarial",Optum,NA,"
Experience building robust data pipelines using a variety of data sources, programming languages, and toolsets.
",3.4,Data+Scientist
2838,"Bengaluru, Karnataka",Lead Data Analyst - Risk Analytics,GO-JEK,NA,"
Data querying, data modeling, data transformations, data visualization,.
We use big data with human intelligence to make the best decision.
",NA,Data+Scientist
2839,"Pune, Maharashtra",Sr NLP & Text Mining Data Scientist,Evolent Health,NA,"
Perform analysis of provider and claims data sets.
Create credentialing and provider data management auditing tools and collateral to support delivery of…
",3.1,Data+Scientist
